appid,title,genres,developers,publishers,tags,release_year,short_description
220,Half-Life 2,Action,Valve,Valve,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing,Steam Timeline",2004,"Reawakened from stasis in the occupied metropolis of City 17, Gordon Freeman is joined by Alyx Vance as he leads a desperate human resistance. Experience the landmark first-person shooter packed with immersive world-building, boundary-pushing physics, and exhilarating combat."
240,Counter-Strike: Source,Action,Valve,Valve,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,Camera Comfort,Color Alternatives,Custom Volume Controls,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Family Sharing",2004,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology.
280,Half-Life: Source,Action,Valve,Valve,"Single-player,Remote Play Together,Family Sharing",2004,"Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more."
300,Day of Defeat: Source,Action,Valve,Valve,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Surround Sound,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Family Sharing",2010,Valve's WWII Multiplayer Classic - Now available for Mac.
320,Half-Life 2: Deathmatch,Action,Valve,Valve,"Multi-player,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Valve Anti-Cheat enabled,Includes Source SDK,Family Sharing",2004,Fast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!
340,Half-Life 2: Lost Coast,Action,Valve,Valve,"Single-player,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Commentary available,Family Sharing",2005,"Originally planned as a section of the Highway 17 chapter of Half-Life 2, Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine."
360,Half-Life Deathmatch: Source,Action,Valve,Valve,"Multi-player,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Valve Anti-Cheat enabled,Family Sharing",2006,"Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps, now running on the Source engine."
380,Half-Life 2: Episode One,Action,Valve,Valve,"Single-player,Steam Achievements,Full controller support,Captions available,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Surround Sound,Steam Cloud,Stats,Includes Source SDK,Commentary available,Family Sharing",2006,"Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required."
400,Portal,Action,Valve,Valve,"Single-player,Steam Achievements,Full controller support,Captions available,Camera Comfort,Custom Volume Controls,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Includes level editor,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Family Sharing",2007,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay."
420,Half-Life 2: Episode Two,Action,Valve,Valve,"Single-player,Steam Achievements,Full controller support,Captions available,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Stats,Includes Source SDK,Commentary available,Family Sharing",2007,"Half-Life® 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life® adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions."
