appid,title,genres,developers,publishers,tags,release_year,short_description
9200,RAGE,Action,id Software,Bethesda Softworks,"Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Family Sharing",2011,"Powered by id’s revolutionary id Tech® 5 technology, RAGE is an intense first-person shooter with breakneck vehicle combat, an expansive world to explore, and jaw-dropping graphics!"
9219,RAGE,Action,id Software,Bethesda Softworks,"Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Family Sharing",2011,"Powered by id’s revolutionary id Tech® 5 technology, RAGE is an intense first-person shooter with breakneck vehicle combat, an expansive world to explore, and jaw-dropping graphics!"
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",Strategy,Relic Entertainment,SEGA,"Single-player,Multi-player,Family Sharing",2007,"This expansion adds all-new units and strategies to the exciting gameplay offered by Dawn of War. The Imperial Guard brings new weaponry, including heavy armor, new troop units as well as defensive and ranged tactics overwhelming numbers. Coupled with new abilities, this fighting force is as lethal as they come."
9340,Company of Heroes: Opposing Fronts,"Action,Strategy",Relic Entertainment,SEGA,"Single-player,Multi-player,Steam Cloud,Family Sharing",2007,"The next chapter in the #1 rated RTS franchise thrusts players into a hellish war torn landscape to command two battle-hardened armies in relentless campaigns for honor and country. Players lead the tenacious British 2nd Army during the heroic World War II liberation of Caen, France, and command the German Panzer Elite as they struggle..."
9350,Supreme Commander,Strategy,Gas Powered Games,Square Enix,"Single-player,Multi-player,Family Sharing",2011,"For a thousand years, three opposing forces have waged war for what they believe is true. There can be no room for compromise: their way is the only way. Dubbed The Infinite War, this devastating conflict has taken its toll on a once-peaceful galaxy and has only served to deepen the hatred between the factions."
9420,Supreme Commander: Forged Alliance,Strategy,Gas Powered Games,Square Enix,"Single-player,Multi-player,Family Sharing",2011,"The last days of man are at hand.. Two years after the Infinite War the once great warring nations now lie in ruins, and humanity’s hope for a brighter future is nothing but a bitter memory. A new, seemingly unstoppable enemy, supported by the zealots of The Order, now seeks to eradicate mankind: UEF, Aeon Loyalist, and Cybran alike."
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",Strategy,Relic Entertainment,SEGA,"Single-player,Multi-player,Steam Cloud,Family Sharing",2008,"The third and final expansion to the genre-defining and critically-acclaimed RTS, Dawn of War. In Soulstorm, two new armies are introduced – Sisters of Battle and Dark Eldar - raising the total number of playable armies to nine."
9460,Frontlines™: Fuel of War™,Action,Kaos Studios,THQ Nordic,"Single-player,Multi-player,Co-op,Steam Cloud,Family Sharing",2008,"Frontlines™: Fuel of War™ is an open-world First Person Shooter set on the frontlines of tomorrow. In a world ravaged by a global energy crisis, environmental decay, and economic depression, players assume the role of an elite soldier in the Western Coalition Army on an epic crusade against the Red Star Alliance to control the last of..."
9480,Saints Row 2,Action,Volition,Deep Silver,"Single-player,Partial Controller Support,Steam Cloud,Family Sharing",2009,"Saints Row 2 brings true freedom to open-world gaming. Players can play as who they want, how they want, and with whomever they want in this sequel to the much acclaimed and tremendously successful Saints Row."
9500,Gish,"Action,Adventure,Indie","Cryptic Sea,Edmund McMillen",Chronic Logic,"Single-player,Multi-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Remote Play Together,Family Sharing",2007,"Gish isn't your average hero. In fact, he's not your average anything...you see, Gish is a ball of tar. A Sunday stroll with his lady friend, Brea, goes awry when a shadowy figure emerges from an open manhole and pulls Brea below ground."
9710,Desperados 2: Cooper's Revenge,Action,Spellbound,THQ Nordic,"Single-player,Family Sharing",2008,"Desperados 2 is the sequel to the successful wild west title Desperados - Wanted Dead or Alive. The gameplay is based on its predecessor but with brand new tactical possibilities in a beautiful 3D environment. Switch from an isometric view to a third person view whenever you want; for example, for duels, brawls and shoot-outs."
9730,Tycoon City: New York,Simulation,Deep Red Games Ltd.,Atari,"Single-player,Family Sharing",2008,"Here's your chance to make it big in the Big Apple... New York City, the city that never sleeps! Go for broke building your own Manhattan empire, creating and customizing over 100 types of major businesses: run a hot nightclub, oversee a media conglomerate, open a lucrative Broadway theater - the choices are endless."
9760,Act of War: High Treason,Action,Eugen Systems,THQ Nordic,"Single-player,Multi-player,Family Sharing",2008,"The highly anticipated sequel to the critically acclaimed game Act of War: Direct Action picks up where the techno-thriller left off. On the eve of the U.S. Presidential elections, simultaneous terrorist attacks hit both candidates. Clues point to corrupt elements within the U.S."
9800,Death to Spies,"Action,Adventure",Haggard Games,Fulqrum Publishing,"Single-player,Steam Cloud,Family Sharing",2008,"Smersh is Russian for &quot;Death to Spies&quot; and was the name of a set of counterintelligence agencies formed in the Soviet Army during World War II. Their mission was to secure the rear of the active Red Army by arresting traitors, deserters, spies and criminal cells."
9850,Codename: Panzers - Cold War,"Simulation,Strategy","InnoGlow,Stormregion,THQ Nordic",,"Single-player,Multi-player,Co-op,Family Sharing",2009,"Tempelhof, Berlin, dawn of 8th April 1949.A major armed conflict is brewing between the Western powers and the Soviet bloc. The Red Army has been growing ever stronger since the end of World War II. With the growth of their army the Soviets realize that they hold the advantage, and are only waiting for the right moment to attack."
9880,Champions Online,"Massively Multiplayer,RPG,Free To Play",Cryptic Studios,Arc Games,"Multi-player,MMO,Co-op,Steam Achievements",2011,"Grab your cape and defend Millennium City in this comic book-style action MMORPG! Design your hero and costume from thousands of costume pieces, face super-villains like Dr. Destroyer, and create your own unique nemesis."
9900,Star Trek Online,"Massively Multiplayer,RPG,Free To Play",Cryptic Studios,Arc Games,"Multi-player,MMO,Co-op,Full controller support,In-App Purchases",2012,"In Star Trek Online, the Star Trek universe appears for the first time on a truly massive scale. Players take the captain's chair as they command their own starship and crew. Explore strange new worlds, seek out new life and new civilizations, and boldly go where no one has gone before."
9940,Blade Kitten,"Action,Adventure",Krome Studios,Krome Studios,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",2014,"In Blade Kitten, join Kit Ballard as she explores the mysterious world of Hollow Wish to hunt down rogue mechs and soft targets."
9960,Haunted House™ (2010),Adventure,ImagineEngline,Atari,"Single-player,Partial Controller Support,Family Sharing",2010,"Dare to be scared! After 30 years, Atari's classic groundbreaking game is back - with all-new scream-worthy chills and thrills!"
9970,Star Raiders,Action,Incinerator Studios,Atari,"Single-player,Partial Controller Support,Family Sharing",2011,Engage in epic dogfights and aerial assaults against the onslaught of the evil Zylons.
9980,The UnderGarden,Casual,Artech Studios,Atari,"Single-player,Family Sharing",2010,"The UnderGarden is a casual Zen game that challenges players to explore beautiful underground caverns filled with strange life forms, sound, music and plenty of hidden secrets. Casual gamers with an affinity towards puzzle games will enjoy The UnderGarden’s modern exploration quest filled with brain teasing games that combine state of..."
10090,Call of Duty: World at War,Action,Treyarch,Activision,"Single-player,Multi-player,Co-op,Family Sharing",2008,"Call of Duty is back, redefining war like you've never experienced before. Building on the Call of Duty 4®: Modern Warfare engine, Call of Duty: World at War immerses players into the most gritty and chaotic WWII combat ever experienced."
10100,King's Quest™ Collection,Adventure,Sierra,Activision,"Single-player,Family Sharing",2009,"Seven classic games in one collection. Celebrate the golden age of adventure games all over again with the return of King's Quest.The bravest knight in all of Daventry, Sir Graham, is appointed by the dying king to embark on a Quest for the Crown."
10110,Space Quest™ Collection,Adventure,Sierra,Activision,"Single-player,Family Sharing",2009,"Experience a blast from the past with the complete, completely twisted Space Quest Collection."
10120,Aces of the Galaxy™,"Action,Casual",Artech Studios,Activision,"Single-player,Family Sharing",2009,"3, 2, 1 Blast-Off! Launch yourself into the intense space-shooter Aces of the Galaxy™  A non-stop, old-school arcade thrill-ride for the 21st century and beyond. Utilize an impressive arsenal of upgradeable weapons including high powered missile launchers, devastating torpedoes and the ever-reliant chain gun to annihilate the ships of..."
10130,TimeShift™,Action,Saber Interactive,Activision,"Single-player,Multi-player,Family Sharing",2009,"Master time to become the ultimate weapon! Dr. Aiden Krone has made a Time Jump across the space-time continuum - a reckless act with frightening consequences. Now, a disturbing alternate reality has evolved within the bleak and rain-soaked Alpha District."
10140,3D Ultra™ Minigolf Adventures,Sports,Wanako Games,Activision,"Single-player,Family Sharing",2009,"Whether you're a seasoned player or just a beginner, get ready to tee off for a quick and fun match with four animated stylish characters. Putt your way through 36 fun-filled holes of minigolf on 3D designed courses with elevated greens, bunkers, bridges and water hazards, among other crazy obstacles."
10150,Prototype™,"Action,Adventure",Radical Entertainment,Activision,"Single-player,Family Sharing",2009,"You are the Prototype, Alex Mercer, a man without memory armed with amazing shape-shifting abilities, hunting your way to the heart of the conspiracy which created you; making those responsible pay. Fast &amp; Deadly Shape-Shifting Combat: Reconfigure your body to the situation at hand."
10180,Call of Duty®: Modern Warfare® 2 (2009),Action,Infinity Ward,Activision,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Family Sharing",2009,"The most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse."
10190,Call of Duty®: Modern Warfare® 2 (2009),Action,Infinity Ward,Activision,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Family Sharing",2009,"The most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse."
10220,Postal III,Action,"Trashmasters,Zoom Platform",Akella,"Single-player,Steam Achievements,Family Sharing",2012,"Good or Insane? The choice is yours. Following the Apocalyptic end to the Postal Dude’s week in Paradise, we follow him and his insane pitbull Champ as they emigrate to its appropriately named sister city, Catharsis."
10230,Dead Mountaineer's Hotel,Adventure,Electronic Paradise,Akella,"Single-player,Family Sharing",2011,"The remote hotel stands atop an ominous snow-peaked mountain, and death permeates every inch of the place. A crime has been committed here obviously, and the remote nature of the retreat means that the culprit is still roaming the halls. Which of the guests is capable of this? Whose past hides sinister truths and who has the most to gain?"
10240,A Stroke of Fate: Operation Valkyrie,Adventure,SPLine,Akella,"Single-player,Family Sharing",2011,"Operation Valkyrie is a famous plan of the German Resistance to overthrow the tyrannical Nazi government. Standartenfuhrer Gerhard Mayer, a patriot who works in Reich Security Head Office learns that Gestapo has tracked down the conspirators."
10250,PT Boats: Knights of the Sea,Simulation,Studio4,Akella,"Single-player,Multi-player,Family Sharing",2011,"PT Boats is dedicated to a small group of little known but perhaps some of the most daring naval combatants of World War II: the torpedo boat crews. These ships are small, fast and agile, and extremely dangerous due to the on-board torpedo launchers. But they are also the most vulnerable of all military vessels."
10260,PT Boats: South Gambit,Simulation,studio4,Akella,"Single-player,Multi-player,Family Sharing",2011,"“The seas can be dangerous, but when you’re in command of a crack strike boat crew…”. Deadly naval weapon of WWII is back with more campaigns, ore combat aircrafts, ships and even more fascinating gameplay. The original game “PT Boats: Knights of the Sea” has opened a new previously unknown aspect of naval battles in WWII."
10270,Disciples III: Reincarnation,"RPG,Strategy",Akella,Kalypso Media Digital,"Single-player,Multi-player,Family Sharing",2014,"&quot;Disciples III: Reincarnation&quot; offers a revamped and enhanced version of &quot;Disciples III: Renaissance&quot; plus the addon &quot;Resurrection&quot; with all new features, a revised battle engine and all new graphics."
10460,The Club™,Action,Bizarre Creations,SEGA,"Single-player,Multi-player,Partial Controller Support,Family Sharing",2008,"The Club™, created by critically acclaimed developer Bizarre Creations, is a new breed of third-person shooter, combining fast-paced run and gun gameplay, destructive environments, and lethal weapons. You will fight to survive in a shadowy underground blood-sport controlled by a faceless, obscenely wealthy and influential elite who place..."
10500,Total War: EMPIRE – Definitive Edition,Strategy,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Steam Trading Cards,Stats,Family Sharing",2009,"Command the seas, control the land, forge a new nation, and conquer the globe."
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,Sports,Eurocom,,"Single-player,Multi-player,Partial Controller Support,Family Sharing",2008,Embrace the competitive spirit of the world's most prestigious sporting event and represent your country as you compete for the highest honor - the Gold. The game delivers a far more entertaining and immersive Olympic experience with superior graphics capturing the fine emotional detail of each event where a fraction of a second means...
10680,Aliens vs. Predator™,Action,Rebellion,SEGA,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards,Family Sharing",2010,"Survive, hunt and prey in the deadly jungles and swamps in distinctly new and thrilling first person gameplay."
11150,Sherlock Holmes: The Silver Earring,Adventure,Frogwares,Frogwares,"Single-player,Family Sharing",2009,"Melvyn Bromsby, a rich tycoon, is about to make a statement, when suddenly a shot rings out. Sir Bromsby collapses - a mortal wound to the heart... A baffling murder, dozens of witnesses and no suspects! You, Sherlock Holmes, must use all your skills to shed light on this mysterious case."
11180,Sherlock Holmes: The Mystery of the Persian Carpet,"Adventure,Casual",Frogwares,Frogwares,"Single-player,Family Sharing",,"Scotland Yard has called Sherlock Holmes with an urgent request for help! A young painter has been found murdered and rolled up in a remarkable Persian carpet. Along with Watson, you must investigate the peculiar crime, exploring crime scene locations in search of missing clues."
11190,Sherlock Holmes versus Jack the Ripper,"Adventure,RPG",Frogwares,Frogwares,"Single-player,Steam Cloud,Family Sharing",2009,"Recognized as one of the best licenses in gaming and lauded by the press, Sherlock Holmes is back with an investigation that is sure to be the most horrifying of the series. The famous detective stands against the most dangerous serial killer England has ever known - Jack the Ripper."
11200,Shadowgrounds Survivor,Action,Frozenbyte,Frozenbyte,"Single-player,Multi-player,Shared/Split Screen,Steam Trading Cards,Includes level editor,Remote Play Together,Family Sharing",2007,"Surviving is only half the game. The award-winning atmosphere and gameplay mechanics of the original Shadowgrounds make a triumphant return in this spin off/sequel armed with a slick new feature set! Shadowgrounds Survivor tells the story of the last remaining humans on Jupiter's moon Ganymede, where the alien onslaught is in full force."
11230,Gumboy Tournament,"Casual,Indie,Racing",CINEMAX GAMES,CINEMAX GAMES,"Single-player,Multi-player,Family Sharing",2008,"Test your reflexes, judgment and tactics while facing up to eight other players in this follow-up to the critically acclaimed and popular arcade game Gumboy: Crazy Adventures, winner of numerous accolades including Gametunnel's GAME OF THE YEAR 2006."
11240,Space Trader: Merchant Marine,"Action,Indie,Strategy",,,"Single-player,Multi-player,Co-op,Steam Achievements,Family Sharing",2008,"Space Trader is an open world trading colony sim wrapped in a shooter. Start as a Rookie and earn your way to Master using shrewd trades, back alley deals, bribes, and well-placed bullet. Buy low, sell high and don’t take no for an answer."
11250,Pacific Storm,"Simulation,Strategy","Buka Entertainment,Lesta Studio",ESDigital Games,"Single-player,Multi-player,Steam Trading Cards,Family Sharing",2008,"On December 7, 1941, a major part of the U.S. Pacific navy stationed at Pearl Harbor was assaulted by Japanese planes. Japanese fighters were destroying American aircraft on land and in the air, without giving them a chance for a counterattack. The furious battle of Pearl Harbor became the first in the sequence of gory sea combats."
11260,Pacific Storm Allies,"Simulation,Strategy",Lesta Studio,ESDigital Games,"Single-player,Multi-player,Steam Trading Cards,Family Sharing",2008,"Pacific Storm: Allies expands upon the success of the internationally acclaimed original to deliver an unforgettable mix of real-time strategy and blistering arcade combat, recreating World War II's most heated battles."
11280,Penguins Arena: Sedna's World,"Action,Casual,Indie",Frogames,Frogames,"Single-player,Multi-player,PvP,Online PvP,Steam Trading Cards,Family Sharing",2008,"Penguins Arena is a thrilling and innovative First Penguin Shooter with quick, hectic rounds and where the magic of reincarnation, combined with the supernatural ability to return to the game as a ghost, ensures that your character has every chance to change your tribe's fate, even in the afterlife."
11920,LUMINES™ Advance Pack,Casual,Q Entertainment Inc.,,"Single-player,Family Sharing",2008,Ready for the next challenge? Prepare yourself for the ultimate LUMINES experience and show us your skills! This exciting pack includes: 21 skins + 2 bonus skins for Challenge Mode 60 mind-bending puzzles to solve in Puzzle Mode 35 stages of quick-thinking and fast-moving in Mission Mode
12130,Manhunt,Action,Rockstar North,Rockstar Games,"Single-player,Family Sharing",2008,"You awake to the sound of your own panicked breath. In Manhunt, you must run, hide and fight to survive. If you can stay alive long enough, you may find out who did this to you. This is a brutal blood sport."
12140,Max Payne,Action,Remedy Entertainment,Rockstar Games,"Single-player,Family Sharing",2011,"Max Payne is a man with nothing to lose in the violent, cold urban night. A fugitive undercover cop framed for murder, hunted by cops and the mob, Max is a man with his back against the wall, fighting a battle he cannot hope to win. Prepare for pain…"
12150,Max Payne 2: The Fall of Max Payne,Action,Remedy Entertainment,Rockstar Games,"Single-player,Family Sharing",2008,"Max Payne 2: The Fall of Max Payne is a violent, film-noir love story. Dark, tragic and intense, the in-depth story is a thrill-ride of shocking twists and revelations. Love hurts."
12180,Grand Theft Auto 2,Action,Rockstar North,Rockstar Games,"Single-player,Family Sharing",2008,"Grand Theft Auto is back. The cars are faster. The streets are busier. The bad guys are nastier. The police are angrier. And now, the FBI and the Army are getting involved... Seven ruthless gangs are involved in a ruthless power struggle and it is up to you to make a name for yourself. Respect is earned, not given."
12200,Bully: Scholarship Edition,"Action,Adventure",Rockstar New England,Rockstar Games,"Single-player,Partial Controller Support,Family Sharing",2008,"Bully tells the story of mischievous 15-year-old Jimmy Hopkins as he goes through the hilarity and awkwardness of adolescence. Beat the jocks at dodge ball, play pranks on the preppies, save the nerds, kiss the girl and navigate the social hierarchy in the worst school around."
12210,Grand Theft Auto IV: The Complete Edition,"Action,Adventure","Rockstar North,Rockstar Toronto",Rockstar Games,"Single-player,Multi-player,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet",2020,"Niko Bellic, Johnny Klebitz and Luis Lopez all have one thing in common - they live in the worst city in America. Liberty City worships money and status, and is heaven for those who have them and a living nightmare for those who don't."
12220,Grand Theft Auto: Episodes from Liberty City,Action,Rockstar North / Toronto,Rockstar Games,"Single-player,Multi-player",2010,Grand Theft Auto: Episodes from Liberty City includes both The Lost and Damned and The Ballad of Gay Tony together and does not require a copy of the original Grand Theft Auto IV to play.
12310,Culpa Innata,"Adventure,Casual,RPG",Momentum Digital Media Technologies,Strategy First,"Single-player,Family Sharing",2008,"The World Union is labeled the 'perfect society'. Prosperity is a science, disease and wars have vanished, sex is entertainment, and the future has never looked brighter. Suddenly this perfect society is rocked by the murder of a World Union citizen in the 'Rogue State' of Russia."
12320,Sacred Gold,"Action,RPG",Studio II,THQ Nordic,"Single-player,Family Sharing",2008,A shadow of evil has fallen on the kingdom of Ancaria. It is a time for champions - a time to journey into the perilous world of SACRED. Battle blood-thirsty orcs &amp; lumbering ogres... Destroy undead wizards &amp; rotting mummies... Slay hellish demons &amp; legendary dragons.
12330,Darkstar One,Action,Ascaron Entertainment ltd.,Strategy First,"Single-player,Family Sharing",2008,"Darkstar One offers a fantastic amount of freedom of choice. The story-based missions gradually lead you deeper into the galaxy to new races, new technologies and ever stronger opponents. Explore a vast array of solar systems in search of hidden artifacts of ancient races, essential objects for upgrading your ship--the Darkstar One."
12420,Perimeter 2: New Earth,Strategy,KDV Games,,"Single-player,Multi-player,Family Sharing",2009,"Perimeter 2: New Earth is the long-awaited sequel of the critically acclaimed RTS Perimeter. Ideas of territorial gameplay and landscape modification, introduced in the original game, are now realized on a new concept & technology level."
12430,SlamIt Pinball Big Score,Casual,Technetium Games,Kalypso Media Digital,"Single-player,Family Sharing",2009,"Big Score is based around a classic story of police vs. criminals in a fight for a big score. The fantastic action will leave you breathless and will pump-up your adrenaline while you are rescuing your ball, trying to hit that last glowing target."
12440,Ankh 2: Heart of Osiris ,Adventure,Deck 13,,"Single-player,Family Sharing",2009,This time he will not fail. This time Osiris will show the world of humans what he's made of. But the ankh alone is not enough - not as long as he hasn't found the most important part of his body: his heart. Life has not been kind to Assil. Only three weeks ago he managed to ward off his death curse.
12450,Ankh 3: Battle of the Gods,Adventure,Deck 13,,"Single-player,Family Sharing",2009,"The omens of the Battle of the Gods have been many, signaling the impending fight for supremacy over all other gods of Egypt. And of course, Assil will be caught in the middle of it all again. Together with his girlfriend Thara, he will have to prevent the sinister Seth from winning the battle and subjecting Egypt to his regime of terror."
12460,BC Kings,Strategy,Mascot Entertainment,,"Single-player,Multi-player,Family Sharing",2009,"BC Kings features several new elements not commonly found in strategy games. In addition to gathering resources, training an army and defeating the enemy, you will have to solve adventure and role-playing elements as well. The campaign is built around the epic story of the brave hero Mradin, and his trusty old friend Giesnik."
12470,Port Royale 2,Strategy,Ascaron Entertainment ltd.,Strategy First,"Single-player,Family Sharing",2009,"The Caribbean in the 17th Century - Trade with over 60 towns, create your own production facilities, expand your trading empire and influence the development of the New World. As pirates and military fleets threaten your trade convoys, you'll need escort ships."
12480,9th Company: Roots Of Terror,Strategy,"Noviy Disk,Lesta Studios Inc",Strategy First,"Single-player,Family Sharing",2009,9th Company Roots of Terror is an action-oriented real-time strategy game based on actual events that took place during the Soviet military campaign in Afghanistan.
12500,PuzzleQuest: Challenge of the Warlords,Casual,Infinite Interactive,"D3Publisher of America, Inc.","Single-player,Multi-player,Steam Cloud,Family Sharing",2008,"PuzzleQuest: Challenge of the Warlords delivers, for the first time ever, classic puzzle-game action backed with an epic story of good vs. evil. Challenge your match 3 skills as you battle against computer opponents to save the Kingdom of Etheria from the evil Lord Bane."
12510,Prison Tycoon 3™: Lockdown,Strategy,"Gamebryo,Virtual Playground",Cosmi Valusoft,"Single-player,Family Sharing",2008,"Crack that Whip! Take reigns of a privately run prison. You are responsible for the care, custody, and control of individuals who have been arrested. Begin with a low security prison and build it up to a SuperMax. From construction to daily operations, you must protect society while turning a profit. It's time for lockdown."
12520,18 Wheels of Steel: American Long Haul,Racing,SCS Software,Cosmi Valusoft,"Single-player,Family Sharing",2008,Your American Dream Starts Behind the Wheel of Your Own Big Rig! North America's open roads await! You ain't working for the Man any more! You're the owner of your own trucking business and you call the shots. Build your empire one rig at a time to dominate the roadways and outbid the competition. Can you handle the pressure?
12530,Hunting Unlimited™ 2008,"Action,Adventure,Strategy",SCS Software,Ziggurat,"Single-player,Family Sharing",2008,The Ultimate PC Hunting Experience Is Back...Bigger and Better Than Ever! Jump Right Into the Action with Hunting Unlimited 2008™! Get up close and personal with the big game you seek. Gone are the endless hours of empty forests and unused shots. The search for the elusive prized trophy has never been more action packed or more realistic.
12540,Mahjongg Investigations: Under Suspicion,Casual,Zemnott,Ziggurat,"Single-player,Family Sharing",2008,"Organized crime is taking over Metro City. As a detective in the 83rd precinct you must use your Mahjongg skills to unearth clues and bring the criminals to justice. Don Diamante, the city's undisputed godfather, must be located and brought in. Collect and match evidence tiles to pinpoint perpetrators."
15520,AaAaAA!!! - A Reckless Disregard for Gravity,"Action,Indie,Sports","Dejobaan Games, LLC","Dejobaan Games, LLC","Single-player,Steam Achievements,Steam Leaderboards,Family Sharing",2009,"BASE jump through a floating city, creating your own stunts to delight your fans. Use quick reflexes to negotiate the intricate tangle of girders that make up the floating city. Flip protesters off for points!"
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Action,Indie,Sports","Dejobaan Games, LLC,Owlchemy Labs","Dejobaan Games, LLC","Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Family Sharing",2011,82 remastered levels from the original and 43 brand new ones that are twice as fast!
15620,"Warhammer 40,000: Dawn of War II - Anniversary Edition",Strategy,"Relic Entertainment,Feral Interactive (Mac/Linux)","Relic Entertainment,Feral Interactive (Mac/Linux)","Single-player,Multi-player,Co-op,Steam Trading Cards,Steam Cloud,Family Sharing",2009,"All of Warhammer 40,000: Dawn of War II in one package. Play the award-winning real-time strategy game in all its glory, including three full campaigns, six multiplayer factions, and a full co-op Last Stand mode with eight unique heroes."
15700,Oddworld: Abe's Oddysee®,Adventure,Oddworld Inhabitants,Oddworld Inhabitants,"Single-player,Steam Trading Cards,Family Sharing",2008,"Selected by the fickle finger of fate, Abe™, floor-waxer first class for RuptureFarms, was catapulted into a life of adventure when he overheard plans by his boss, Molluck the Glukkon™, to turn Abe and his fellow Mudokons into Tasty Treats as part of a last-ditch effort to rescue Molluck's failing meat-packing empire."
15710,Oddworld: Abe's Exoddus®,Adventure,Oddworld Inhabitants,Oddworld Inhabitants,"Single-player,Family Sharing",2008,"Abe's peaceful retirement was shattered when visited by a vision from the Mudokon Spirit Guides. Abe™ learned the Magog Cartel was mining Necrum, the sacred Mudokon city of the dead, to collect bones to make super-addictive SoulStorm Brew."
15740,Oddworld: Munch's Oddysee,"Action,Adventure,Strategy",Oddworld Inhabitants,Oddworld Inhabitants,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Family Sharing",2010,"New port for 2016! 60 FPS, higher res textures, higher poly models, improved audio, numerous fixes and improvements, and trading cards, badges, emotes and backgrounds!"
15750,Oddworld: Stranger's Wrath HD,"Action,Adventure,Strategy",Oddworld Inhabitants,Oddworld Inhabitants,"Single-player,Steam Achievements,Family Sharing",2010,"You're the Stranger, a mysterious bounty hunter on a mission to bag the ultimate prize. And you need that money like no one else because there is something very wrong with your health and the only way to fix it is a very costly operation."
15800,Planet Busters,"Indie,Casual",Slam,,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing",2008,"Planet Busters is a new single-player game from Slam, combining puzzle-solving action with awesome firepower and spectacular explosions. The mysterious Scourge have destroyed Earth. Now it’s payback time."
15900,7 Wonders II,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"Journey back in time with the 7 Wonders series to when magnificent structures were being built in far away lands. Enjoy challenging match-3 gameplay in a newly enhanced interactive environment where you not only learn about marvelous new wonders such as Stonehenge and Taj Mahal, but also watch them come to life piece by piece before your..."
15910,Luxor Amun Rising,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"Glory and adventure await as you return to save ancient Egypt from certain doom in Luxor: Amun Rising. The sequel to the runaway hit game, you must defeat the rebellious princes of Megiddo before they overthrow the pharaoh and plunge the two lands into chaos!"
15920,Luxor 2,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"The much anticipated sequel to the #1 casual game of 2005, LUXOR 2 sets the new standard for action-puzzlers. LUXOR 2 takes you on a beautiful voyage through 88 all-new, gorgeously rendered levels set amongst the pyramids of ancient Egypt."
15930,Luxor 3,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"A brave young Pharaoh, killed prematurely by a fierce sandstorm and embodied by the gods as a skillful scarab, must battle the powerful god of Chaos, Set, to free the essences of other Egyptian gods contained within colorful magical spheres."
15960,Little Farm,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"Have a down-home good time at Little Farm, where you'll use your puzzle-solving and matching skills to help The Normans adjust to farm life and grow truck-loads of vegetables! The Normans left the city to retreat to Uncle Nate's farmbut this isn't a farm of leisure!"
